time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner,link
2023-05-24 05:40:18,Remove Liquidity,,,COOP,343.256409,,,(Group- xaWiF...) - InnerTxn #1 - NVVEC...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/NVVECYFY6AJWCXDTV7VYEKKCJ3F4FZTG3ABB25BPAACS7GHPRSOQ
2023-05-24 05:40:18,Return LP Tokens,COOP/ALGO LP Token,43.849172,,,ALGO,0.004,Combined Group - xaWiFM7w/HUEjwMjl1FerabZdNxztrXA/50UG2MbnlY=,Tinyman : Tinyman AMM v2 : Remove Liquidity,Tinyman,https://allo.info/tx/group/xaWiFM7w/HUEjwMjl1FerabZdNxztrXA/50UG2MbnlY=
2023-05-24 15:12:55,Send,COOP/ALGO LP Token,3.252335,,,ALGO,0.001,TELV26BXL3VVXRKPQLJFWADEQ2VLVDSL7HKYFMM77LZDJOTKWGZQ,Sender,COOPVAULTMTZQXVEFFDU7QPTEYT7OSEX56H37MJFF3OTIR7ZMNMSIGHVOE,https://lora.algokit.io/mainnet/transaction/TELV26BXL3VVXRKPQLJFWADEQ2VLVDSL7HKYFMM77LZDJOTKWGZQ
2023-05-28 20:56:30,Add Liquidity,COOP,138.,,,,,(Group- m6OjS...) - NGSZN37WKJC63N7T53EBXRUU33FN4N55DZ6KP6PVGKZYXSP5SG7A,Tinyman : Tinyman AMM v2 : Add Liquidity ,Tinyman,https://allo.info/tx/group/m6OjSpTNqZ9GTTLRSX9h0dkzPtO9X5vJ65TUnrFbEdQ=
2023-05-28 20:56:30,Receive LP Tokens,,,TinymanPool2.0 COOP-SOCKS,527.521529,ALGO,0.005,Combined Group - m6OjSpTNqZ9GTTLRSX9h0dkzPtO9X5vJ65TUnrFbEdQ=,Tinyman : Tinyman AMM v2 : Add Liquidity,Tinyman,https://allo.info/tx/group/m6OjSpTNqZ9GTTLRSX9h0dkzPtO9X5vJ65TUnrFbEdQ=
2023-05-28 20:57:38,Add Liquidity,COOP,138.,,,,,(Group- EHhGk...) - 5RGYPLVXHUOOY4X7LCAM5N7265OPRGDBDDMWKSGQOVAADHKWT6HA,Tinyman : Tinyman AMM v2 : Add Liquidity ,Tinyman,https://allo.info/tx/group/EHhGkg63XRiCkRqHxgbTZ6bL7TufVTGOcYUisV2Jwtc=
2023-05-28 20:57:38,Receive LP Tokens,,,TinymanPool2.0 COOP-AKTA,439.247987,ALGO,0.005,Combined Group - EHhGkg63XRiCkRqHxgbTZ6bL7TufVTGOcYUisV2Jwtc=,Tinyman : Tinyman AMM v2 : Add Liquidity,Tinyman,https://allo.info/tx/group/EHhGkg63XRiCkRqHxgbTZ6bL7TufVTGOcYUisV2Jwtc=
2023-05-28 20:58:35,Add Liquidity,COOP,136.676409,,,,,(Group- PhkHW...) - DBPCTPS5XW2ISO7BINQ7C7RGNFI373BJU6FJD43WYA35ELIJMCVA,Tinyman : Tinyman AMM v2 : Add Liquidity ,Tinyman,https://allo.info/tx/group/PhkHWMKdENiNJvto8miZcBwtDafQDhq5EHUT6WF7QN8=
2023-05-28 20:58:35,Receive LP Tokens,,,TinymanPool2.0 COOP-Tacos,6.603121,ALGO,0.005,Combined Group - PhkHWMKdENiNJvto8miZcBwtDafQDhq5EHUT6WF7QN8=,Tinyman : Tinyman AMM v2 : Add Liquidity,Tinyman,https://allo.info/tx/group/PhkHWMKdENiNJvto8miZcBwtDafQDhq5EHUT6WF7QN8=
2023-05-28 21:00:29,Add Liquidity,COOP,31.,,,,,(Group- 1kV1B...) - BTUVYF25BPMG4DCVK744N2JDEV7CYNWG3LRFR4DQL7ZEHJODGMOQ,Tinyman : Tinyman AMM v2 : Add Liquidity ,Tinyman,https://allo.info/tx/group/1kV1B8zTM9kImEDzwRKc56VvR7XGnaDfbV6ZjpyKqy0=
2023-05-28 21:00:29,Receive LP Tokens,,,TinymanPool2.0 COOP-VEST,17.326531,ALGO,0.005,Combined Group - 1kV1B8zTM9kImEDzwRKc56VvR7XGnaDfbV6ZjpyKqy0=,Tinyman : Tinyman AMM v2 : Add Liquidity,Tinyman,https://allo.info/tx/group/1kV1B8zTM9kImEDzwRKc56VvR7XGnaDfbV6ZjpyKqy0=
2023-06-03 14:52:25,Remove Liquidity,,,COOP,43.800361,,,(Group- FrXxr...) - InnerTxn #1 - RYQEW...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/RYQEWYCOU5VLBHPDZ3VIZXWU5EN5QIRYFSNT6L3PRJQ42CBKSVTQ
2023-06-03 14:52:25,Remove Liquidity,,,Tacos,1115187.,,,(Group- FrXxr...) - InnerTxn #2 - RYQEW...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/RYQEWYCOU5VLBHPDZ3VIZXWU5EN5QIRYFSNT6L3PRJQ42CBKSVTQ
2023-06-03 14:52:25,Return LP Tokens,TinymanPool2.0 COOP-Tacos,6.603121,,,ALGO,0.005,Combined Group - FrXxrVi44Jr99DMdXb0v3vyPfeGlc9M31HQHyWPN4w4=,Tinyman : Tinyman AMM v2 : Remove Liquidity,Tinyman,https://allo.info/tx/group/FrXxrVi44Jr99DMdXb0v3vyPfeGlc9M31HQHyWPN4w4=
2023-06-03 14:53:03,Remove Liquidity,,,COOP,43.213531,,,(Group- UEXW3...) - InnerTxn #1 - SI2LN...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/SI2LNA3LBBCUBPYSXI3CLWYMYICUXDAODBATGUGJORKN5HQKXKFQ
2023-06-03 14:53:03,Remove Liquidity,,,AKTA,4606.896233,,,(Group- UEXW3...) - InnerTxn #2 - SI2LN...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/SI2LNA3LBBCUBPYSXI3CLWYMYICUXDAODBATGUGJORKN5HQKXKFQ
2023-06-03 14:53:03,Return LP Tokens,TinymanPool2.0 COOP-AKTA,439.247987,,,ALGO,0.005,Combined Group - UEXW3XTA3AkAanL3Bh1nAulWTLs81w8dVfKasTt+abI=,Tinyman : Tinyman AMM v2 : Remove Liquidity,Tinyman,https://allo.info/tx/group/UEXW3XTA3AkAanL3Bh1nAulWTLs81w8dVfKasTt+abI=
2023-06-03 14:53:48,Remove Liquidity,,,COOP,43.343274,,,(Group- Hwp49...) - InnerTxn #1 - SZEPV...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/SZEPV6OKEUR3G2VJGJMFHNEYXZJNDTMRNCNH5OENQ33DUVWM22FQ
2023-06-03 14:53:48,Remove Liquidity,,,SOCKS,6764.690462,,,(Group- Hwp49...) - InnerTxn #2 - SZEPV...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/SZEPV6OKEUR3G2VJGJMFHNEYXZJNDTMRNCNH5OENQ33DUVWM22FQ
2023-06-03 14:53:48,Return LP Tokens,TinymanPool2.0 COOP-SOCKS,527.521529,,,ALGO,0.005,Combined Group - Hwp49pWmCr2gMhnP2LYC7EG/Ae1l09rwagDvz3d9fsE=,Tinyman : Tinyman AMM v2 : Remove Liquidity,Tinyman,https://allo.info/tx/group/Hwp49pWmCr2gMhnP2LYC7EG/Ae1l09rwagDvz3d9fsE=
2023-06-03 14:55:04,Remove Liquidity,,,VEST,67.016589,,,(Group- 6cIXq...) - InnerTxn #1 - CZEMC...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/CZEMCPEOMUJIZG2GVOF4F6Z6BSOZOTYEKWE5JUZF7XSUMGXHTS6A
2023-06-03 14:55:04,Return LP Tokens,TinymanPool2.0 COOP-VEST,17.326531,,,ALGO,0.005,Combined Group - 6cIXq1RO0NIach3PkD/hFjT3YOi+7mzN+hDoDL0PxH4=,Tinyman : Tinyman AMM v2 : Remove Liquidity,Tinyman,https://allo.info/tx/group/6cIXq1RO0NIach3PkD/hFjT3YOi+7mzN+hDoDL0PxH4=
2023-06-03 16:18:49,Add Liquidity,COOP,130.357166,,,,,(Group- ltPcc...) - FGBFR2A4X3Y2LS22EFZT7J2VU5UOV7BOHODTE4SJQLTLPYQVBLVQ,Tinyman : Tinyman AMM v2 : Add Liquidity ,Tinyman,https://allo.info/tx/group/ltPccXbxqxOAlzosykiKKGBYZc9hISt4D2/YhD2Vmd8=
2023-06-03 16:18:49,Receive LP Tokens,,,TinymanPool2.0 COOP-DEFLY,307.837763,ALGO,0.005,Combined Group - ltPccXbxqxOAlzosykiKKGBYZc9hISt4D2/YhD2Vmd8=,Tinyman : Tinyman AMM v2 : Add Liquidity,Tinyman,https://allo.info/tx/group/ltPccXbxqxOAlzosykiKKGBYZc9hISt4D2/YhD2Vmd8=
2023-06-04 08:20:05,Remove Liquidity,,,COOP,46.845341,,,(Group- kiLvw...) - InnerTxn #1 - ZJFSG...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/ZJFSGWQCZCA5I4QR2FUCVO4WCF6Y3G2ZE3U7PFLZCBHQZ3UK3FIQ
2023-06-04 08:20:05,Remove Liquidity,,,DEFLY,2060.361229,,,(Group- kiLvw...) - InnerTxn #2 - ZJFSG...,Tinyman : Tinyman AMM v2 : Remove Liquidity ,Tinyman,https://lora.algokit.io/mainnet/transaction/ZJFSGWQCZCA5I4QR2FUCVO4WCF6Y3G2ZE3U7PFLZCBHQZ3UK3FIQ
