time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2023-05-21 11:39:21,,AF-POOL,13.11384,,,ALGO,0.004,spP6/ksQDXO4bWBtib+aPzD62eft3G4fx/e4PfnqHcw=,3 txns. Algofi : Staking v2 : Deposit Stake
2023-05-21 12:55:59,,,,COOP,10.,,,E44UOOHBNQ7VXX7Z7LWK6QJUXXKFWFNYB66CZR3L6AGFBNBRRO6Q,Receiver
2023-05-21 13:12:16,,ALGO,0.325694,TMPOOL2,1.608595,ALGO,0.005,Gsl5JC0fyQqkwSPIlkJFfGlkJtSN53EMJETri1hArNU=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-21 13:12:16,,COOP,10.,,,,,Combo 2 Gsl5JC0fyQqkwSPIlkJFfGlkJtSN53EMJETri1hArNU=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-21 13:26:27,,,,ALGO,80.,,,SSOMQ5TW4R65UQQCXB7MGWX2RUST4UDGSANK57YERAST5FUK6QSQ,Receiver
2023-05-21 13:30:34,,ALGO,4.2,,,ALGO,0.003,PICBBLSrJSh8v3uA0FoyMfk/3uJEPcjY+sI96Xh+Jd0=,3 txns. 
2023-05-22 05:43:12,,,,ALGO,4.2,,,jR/rqtC4BWtJum5YFbqzCVrTkowS3yyAX/NtbKcjq1E=,1 txns. 
2023-05-22 09:18:32,,,,ALGO,0.000001,ALGO,0.008,HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=,"5 txns. Pact : Pact Swap : Swap, Add Liquidity"
2023-05-22 09:18:32,,ALGO,4.01909,COOP,74.020801,,,Combo 2 HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=,"5 txns. Pact : Pact Swap : Swap, Add Liquidity"
2023-05-22 09:18:32,,ALGO,3.98091,,,,,Combo 3 HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=,"5 txns. Pact : Pact Swap : Swap, Add Liquidity"
2023-05-22 09:18:32,,COOP,74.0208,PLP,1.171252,,,Combo 4 HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=,"5 txns. Pact : Pact Swap : Swap, Add Liquidity"
2023-05-22 16:10:18,,,,COOP,100.419999,ALGO,0.004,u5e6VtwT10GQrofr5qbwL4u6tWFVvEa8gvXpC+YacIc=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-22 16:10:18,,ALGO,6.101111,ALGO,0.030353,,,Combo 2 u5e6VtwT10GQrofr5qbwL4u6tWFVvEa8gvXpC+YacIc=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-22 16:11:59,,ALGO,70.,,,ALGO,0.005,elIKwSMu7qxu/QhU5DjriDGUWfZWWu0IChKVtHCxNvQ=,3 txns. Folks Finance : Folks Finance v2 : Deposit
