time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2021-11-19 07:36:4,,ALGO,0.203,,,,,Combo 2 ptlmlxfPCxJdaia0CfaXqupY10BthjtDhdZ2EcVld2k=,3 txns. 
2021-11-19 07:51:43,,,,ALGO,12.5,,,NS3PZ3R5K6O44NC5CKGDGMHHWWYJBVMEEP4BPQ6RCF4CAPWBKEFQ,Receiver
2021-11-19 07:55:09,,ALGO,14.,LAYKA01,1.,ALGO,0.003,GfoCVAe7ZAx6vbEcdYxV3E+IjcpuZopwo8ElMA4Ql7E=,4 txns. 
2021-11-19 07:59:01,,,,,,ALGO,0.001,MEGXP5CRJCCBJTQNCUJXG3XDWWKDYCMOSG6547D26IYPPJQQOROQ,Sender
2021-11-19 07:59:32,,LAYKA01,1.,,,ALGO,0.003,MRFqEiY/ynE4UOfnVHaCkf/LxlthvFLCeHhKxcUQlq0=,3 txns. 
2021-11-19 07:59:32,,ALGO,0.203,,,,,Combo 2 MRFqEiY/ynE4UOfnVHaCkf/LxlthvFLCeHhKxcUQlq0=,3 txns. 
2021-11-20 04:24:19,,1,0.,,,,,DUU5C5GWTPP4NCNQ2MQCDPU3NCAL6EN3PVB4BTZAE4VZVJEDH5CA,Asset Opt in/out
2021-11-20 04:33:58,,,,1,1.,,,6JFMFA26GP43P2KOJ2V7EJ37U2KXYIODAGOFTWHDBP4WLGFUWCSQ,Receiver
2021-11-21 00:50:4,,ALGO,4.,,,ALGO,0.001,RRHYFNMFFH4WYHKEF253XHM7QUS4DCLPGMSZEEYPL6TKSVG2YQ6A,Sender
2021-11-22 16:49:18,,,,ALGO,6.,,,WAHN4LB2G2WTTJOTXBDAKARDTBE2JSMWRYYGCBXX5TMSSICBRURQ,Receiver
2021-11-22 16:54:58,,ALGO,4.2,LD-1,1.,ALGO,0.003,i9nqtuKIixqvP5fPaclHLNzz+sb9YkL2vD5KcSM4Ki0=,4 txns. 
2021-11-22 16:57:39,,,,,,ALGO,0.001,UDXUQ2AVZVH2V3YBHSHGA5W6UMSRENEFSX5QQ45MYKFFSPCALOIQ,Sender
2021-11-22 16:58:14,,LD-1,1.,,,ALGO,0.003,zSTubgUWP1NqElqFuJu1hz1P6MCze2XozZj/qcNX2Pw=,3 txns. 
2021-11-22 16:58:14,,ALGO,0.203,,,,,Combo 2 zSTubgUWP1NqElqFuJu1hz1P6MCze2XozZj/qcNX2Pw=,3 txns. 
2021-11-22 17:11:17,,,,ALGO,3.065753,,,27TE6DLX3Q63XUKM3RXXWP3GQOR2MLMTMEAAMN4SQOVKPMBHTZGA,Receiver
2021-11-22 17:15:3,,ALGO,5.,003,1.,ALGO,0.003,mbNkrdLNNAezOf4P+txzPFBWnLVVD5bavynka+LqXqo=,4 txns. 
2021-12-03 04:12:44,,,,ALGO,4.630322,,,C2LQFNIXUCGXYKO7QFUNUUSMO5XEMWR7G23U3LHEVDA7PHVX4TUQ,Receiver
2021-12-03 04:21:56,,,,ALGO,40.5,,,F7BBU6GYENPGXQWUWFTXBRAX2BYR3JP4ZUNR54ZQWYU2TRFNTSAA,Receiver
2021-12-03 04:28:58,,,,ALGO,33.5,,,B3TNCT4XS5GAXYY2X2Y52ON7UA54VYEWTWAEZFEJTQGO5EPY3OHA,Receiver
2021-12-03 04:31:12,,ALGO,30.,,,ALGO,0.001,VMFE6LCF2DQG2X72BU5MUFCGDPDW2UVCVE2Q5RA4K6C36GF7CXWQ,Sender
2021-12-03 04:57:52,,ALGO,33.,AlienKid,1.,ALGO,0.003,cM3mylQVhnYcpKpEvEMIDDzIcTI/qL8ZB3BKWNFXS1U=,4 txns. 
2021-12-03 04:59:5,,,,,,ALGO,0.001,45OJCXRIU3WLBF7LAHJH24A5MX73U2UG3VC5J5YGDCK5PGYX3DWA,Sender
2021-12-03 05:00:25,,1,1.,,,ALGO,0.003,/eYJjKJ2NvZaOiM5z6g9wVm3ucgN3m0zUNB2afI+tjo=,3 txns. 
2021-12-03 05:00:25,,ALGO,0.203,,,,,Combo 2 /eYJjKJ2NvZaOiM5z6g9wVm3ucgN3m0zUNB2afI+tjo=,3 txns. 
2021-12-03 05:04:28,,,,,,ALGO,0.001,FPQESZRVECX2KI3PRZWICMUL3UOFNR6TBW5R3GXBSULM6YRYWQ7A,Sender
2021-12-03 05:05:03,,AlienKid,1.,,,ALGO,0.003,xCgnAPUs7RHPexuwbNRD9gchJn8MMy10klmSQwO5+tk=,3 txns. 
2021-12-03 05:05:03,,ALGO,0.203,,,,,Combo 2 xCgnAPUs7RHPexuwbNRD9gchJn8MMy10klmSQwO5+tk=,3 txns. 
2021-12-03 05:08:36,,ALGO,7.,BMO,1.,ALGO,0.003,Z9SC7ss1Q26rG4FqCbgldv8MRf2uHuP2Nv0aPfmftV4=,4 txns. 
2021-12-03 09:57:44,,ALGO,0.5,,,ALGO,0.001,CBJKQLG7SAZUB5HKZBZTQKB6X7HZDKY76BW27CNKUEX5UDOLPGEA,Sender
2021-12-03 09:58:59,,LLBBsG1,1.,,,ALGO,0.003,EbyCg/JKh0WOs2DYvyeI+EVq6/YPAv1RDl7zpD7mrBo=,3 txns. 
2021-12-03 12:00:48,,,,LLBBsG1,1.,,,QIWo0PM6yOAzQqQpuoE1IpESzQpV3++3dORPItdjBfM=,2 txns. 
2021-12-04 09:19:38,,001AP,0.,,,,,M6YGQV6QOXOEUOPF6KGBLLGT3EDOKXS2KAFL34S5UJDAPVPMT73A,Asset Opt in/out
2021-12-04 09:20:26,,002 AP,0.,,,,,KCXNFPRWTHZQWMA34RDL2HBW3KUPRTMWHALRHYIVT3UG6R2Y6SDA,Asset Opt in/out
2021-12-04 09:36:12,,,,001AP,1.,,,EE4OKYXHDFWMNF7TGA7G3DQ7D6JXSY3MEFKF7EV7ENLP6WKT3I6A,Receiver
2021-12-04 09:37:3,,,,002 AP,1.,,,ECCVVDSZCVWOCTM5QIW4M5T7DAKMW6ZCPPXPP7FCJHAXLHCF2AAA,Receiver
2021-12-04 23:41:09,,GPNFT#5,0.,,,,,LHZEDQEV62VST5XESSNHRZNITDU3GIM5MM23DJUDZUU45Q5X23SQ,Asset Opt in/out
