time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2024-05-25 11:15:54,,,,OTSDGFKD,25.494384,,,X2B2WZ63X6FTXF26ZNUWAXLQNFVB2TCVYDBLSIPPUHOH4PZFB2NA,Receiver
2024-05-25 11:21:03,,,,VEST,0.018295,,,3OEXVXRQHQWMG7F4JPURL4MEPICHWQFOO2NIDQKZPCAM2T52JWSQ,Receiver
2024-05-25 18:45:37,,,,USDt,0.000605,,,UCBYLTXO7NFI7VKUCX3H7IPNROWS27IZLXAJZTXKEOHOUFTDJ2SQ,Receiver
2024-05-25 18:45:43,,,,USDC,0.000628,,,LWF2IE5CX7EVJZH4JG5KH3BIPWAUJCK6IV5M356S7KBDUWRVA7XQ,Receiver
2024-05-25 18:45:49,,,,EURS,0.000275,,,QFDVEMWKW2AI6JICLDYKZ6DYWUNT3TU3FON3IZM75BBZWL7CX6MQ,Receiver
2024-05-25 18:45:55,,,,GOLD$,0.000028,,,RHWJEKX6ZQ745C7ZN7E6XYZ4WZCPF3JH2XLQAV3WQ3B7XQCHLQ6A,Receiver
2024-05-25 18:46:,,,,goBTC,0.00000001,,,UU4TWUEC7RIOJSPRJS4JJ2VGADUAQMRKOXLTUVTARYKOFHMGR6BQ,Receiver
2024-05-25 18:46:06,,,,goETH,0.00000017,,,DN7AHP5EJ5Y7KKBYQY6H46TKWTGDYKI7DJYSDUVLKBEI6M6ZRXAA,Receiver
2024-05-25 18:46:12,,,,goMINT,0.034259,,,QMBKL6DJN5V7RN53BFUK6DKXZCTCHEBZSW5RG2HZOHJCDJD6OIXQ,Receiver
2024-05-25 18:46:18,,,,AKTA,0.658869,,,75EEKEJ6HL5BKRRYN4K2IRM7Y7XQFMR43XAV6DZV4T6IRTAY23ZQ,Receiver
2024-05-25 18:46:24,,,,goUSD,0.001047,,,O72WVQPFT3LCANNLHPXNCWAB3UKJWBPRQ4YLPQKVHYNAZZD2LIMA,Receiver
2024-05-25 18:46:29,,,,VEST,0.377588,,,WTOFTE473X2Q2FIVFOTK2UOCOGSMP4AWE6HD73JS6BJWHF55TXDQ,Receiver
2024-05-25 18:46:35,,,,META,0.001569,,,RAC6U2DBOZR73RZMTQRRFFQT5F2P2UWRMEJUIMJHETAERGV3O2UA,Receiver
2024-05-25 18:46:41,,,,xUSD,0.00086,,,YI6Z6ALCWYC6LOTLLAWDHA52PRDBACGVLGZL5ZPVLF54GSUCNWVA,Receiver
2024-05-25 18:46:47,,,,gALGO,0.061186,,,IW5TLLIEEAMKMQQAMMEPKIT5NENQMUWO5RMCWNWR3GEPQEYH246A,Receiver
2024-05-25 18:46:53,,,,COOP,0.045229,,,37MDEWYW2SWRBGWLEVY4YV55JPY2G4HKAXZ6TBJCA7PXYA22GMMA,Receiver
2024-05-25 18:46:58,,,,PEPE,89.8435,,,HZ6QMCD7WIWL4MIP76NLYYKAZIDEU76HR762KKYDR2ZHI2VHMG6A,Receiver
2024-05-25 18:47:04,,,,TMPOOL2,0.035104,,,2FZ4IHR26L7WQVWCLZIWBKXGNMVFQSBV2HDTQHFI722MGO6TL23A,Receiver
2024-05-25 18:47:1,,,,TMPOOL2,0.416494,,,DM4VSGMZNUHGANHJ3MTD2ZFU6DOUQR7X245CIS2BPRH27QYBH6GA,Receiver
