ID,platform,appName
611804624,Algofi,STBL/ALGO LP Staking (Manager contract)
611867642,Algofi,STBL/USDC LP Staking Market
611869320,Algofi,STBL/USDC LP Staking Manager
612897573,Algofi,312769/ALGO Liquidity Pool
612930908,Algofi,230946361/ALGO Liquidity Pool
613193782,Algofi,31566704/ALGO Liquidity Pool
613209438,Algofi,27165954/ALGO Liquidity Pool
613210847,Algofi,287867876/ALGO Liquidity Pool
613211274,Algofi,226265212/ALGO Liquidity Pool
613217007,Algofi,USDt/ALGO Liquidity Pool
613218975,Algofi,TREES/ALGO Liquidity Pool
613230784,Algofi,2751733/ALGO Liquidity Pool
613234692,Algofi,403499324/ALGO Liquidity Pool
613235395,Algofi,390982964/ALGO Liquidity Pool
613236122,Algofi,251014570/ALGO Liquidity Pool
613272542,Algofi,300208676/ALGO Liquidity Pool
613275177,Algofi,AGNR/ALGO Liquidity Pool
613339906,Algofi,329110405/ALGO Liquidity Pool
617179069,Algofi,388502764/ALGO Liquidity Pool
617707129,Yieldly,YLDY > DPANDA Staking
617728717,Yieldly,YLDY/DPANDA LP > YLDY Staking
619889051,Algofi,DPANDA/ALGO Pool
620592786,Yieldly,Unknown YLDY/CRSD App
620601402,Yieldly,YLDY/CRSD LP > YLDY Staking
620995314,Pact,31566704/ALGO Liquidity Pool
621155705,Pact,300208676/ALGO Liquidity Pool
621226880,Pact,465865291/ALGO Liquidity Pool
621252819,Pact,226265212/ALGO Liquidity Pool
621289049,Pact,470842789/ALGO Liquidity Pool
621960148,Pact,297995609/ALGO Liquidity Pool
622674296,Algofi,goETH/Choice Liquidity Pool
624032309,Algofi,BOARD/ALGO Liquidity Pool
624919018,Yieldly,YLDY > CRSD Staking
624939168,Pact,372666897/ALGO Liquidity Pool
624956175,Algofi,DEFLY/STBL Liquidity Pool
625053603,Yieldly,YLDY > NURD Staking
625087406,Yieldly,YLDY/NURD LP > YLDY Staking
628705194,Pact,444035862/ALGO Liquidity Pool
629626555,Algofi,STBL/YLDY Liquidity Pool
630101978,AlgoFund,ALGF > ALGF Staking
630147266,AlgoFund,ALGF/ALGO LP > ALGF Staking
631172548,Algofi,KFL/ALGO Liquidity Pool
634476613,Algofi,MAGM/ALGO Liquidity Pool
635146381,Pact,287867876/ALGO Liquidity Pool
635256627,Algofi,STBL/XET Liquidity Pool
635812850,Algofi,STBL/XET LP Staking (Market contract)
635813909,Algofi,STBL/XET LP Staking (Manager contract)
635846127,Algofi,STBL/goBTC Liquidity Pool
635853824,Algofi,STBL/goETH Liquidity Pool
635860537,Algofi,STBL-GOBTC (Market contract)
635863793,Algofi,STBL-GOBTC (Manager contract)
635864509,Algofi,STBL-GOETH (Market contract)
635866213,Algofi,STBL-GOETH (Manager contract)
636072212,Algofi,408898501/ALGO Liquidity Pool
637793356,Algofi,STBL/OPUL LP Staking (Market contract)
637795072,Algofi,STBL/OPUL LP Staking (Manager contract)
637801923,Algofi,STBL/OPUL Liquidity Pool
638262233,Algofi,400593267/ALGO Liquidity Pool
639541260,Pact,226701642/ALGO Liquidity Pool
639747119,Algofi,STBL/DEFLY LP Staking (Market contract)
639747739,Algofi,STBL/DEFLY LP Staking (Manager contract)
640481749,Algofi,444035862/ALGO Liquidity Pool
641499935,Algofi,DEFLY > DEFLY Staking(Market contract)
641500474,Algofi,DEFLY > DEFLY Staking (Manager contract)
645869114,Pact,386195940/ALGO Liquidity Pool
646658617,Pact,USDC/USDt Liquidity Pool
647785158,Algofi,STBL/ZONE LP Staking (Market contract)
647785804,Algofi,STBL/ZONE LP Staking (Manager contract)
647799801,Algofi,STBL/ZONE Liquidity Pool
649588853,Tinyman,Staking
658337046,Algofi,STBL/USDC Liquidity Pool
659541613,Pact,USDt/ALGO Liquidity Pool
659677335,Algofi,STBL/USDt Liquidity Pool
659678644,Algofi,USDC/USDt Liquidity Pool
661192413,Algofi,USDC/STBL LP Staking (Market contract)
661193019,Algofi,USDC/STBL LP Staking (Manager contract)
661207804,Algofi,USDC-USDT (Market contract)
661247364,Algofi,USDC-USDT (Manager contract)
661744776,Pact,386192725/ALGO Liquidity Pool
662112435,Pact,31566704/ALGO Liquidity Pool
665087134,Pact,559219992/ALGO Liquidity Pool
667170441,Pact,USDt/ALGO Liquidity Pool
667424705,AlgoFund,ALGF/NURD LP >  Staking
674526408,Algofi,OPUL (Market contract)
674527132,Algofi,OPUL (Manager contract)
675102193,Pact,470842789/ALGO Liquidity Pool
677288079,Pact,DEGEN/ALGO Liquidity Pool
679931593,Algofi,441139422/ALGO Liquidity Pool
680611329,Algofi,goMINT/ALGO Liquidity Pool
681061940,Pact,230946361/ALGO Liquidity Pool
682482359,Pact,441139422/ALGO Liquidity Pool
682942221,Pact,OPUL/USDC Liquidity Pool
686500029,Folks Finance,USDC (Pool)
686500844,Folks Finance,USDt (Pool)
686501760,Folks Finance,goBTC (Pool)
686862190,Folks Finance,USDC (Rewards aggregator)
686875498,Folks Finance,USDt (Rewards aggregator)
686876641,Folks Finance,goBTC (Rewards aggregator)
688675907,Algofi,558978094/ALGO Liquidity Pool
689185988,Folks Finance,Oracle Adapter
689594845,Pact,388502764/ALGO Liquidity Pool
694405065,Folks Finance,goETH (Pool)
694464549,Folks Finance,gALGO3 (Pool)
694505855,Folks Finance,gALGO-USDC Market
694511513,Folks Finance,gALGO-goBTC
695956892,Folks Finance,gALGO-goETH Market
696044550,Folks Finance,goETH (Rewards aggregator)
696203315,Algofi,ROYAL/ALGO Liquidity Pool
697673715,Pact,USDC/ALGO Liquidity Pool
700661782,Folks Finance,Lock & Earn goBTC
700662199,Folks Finance,Lock & Earn goETH
701273050,Pact,USDC/USDt Liquidity Pool
705657303,Algofi,Stability Module (Market contract)
705663269,Algofi,Stability Module (Manager contract)
705672216,AlgoFund,Governance Vote 1
708128650,Yieldly,NURD > NURD Staking
710314682,Algogems,AlgoStake NFT #1 Market
710518651,Yieldly,YLDY > COSG Staking
710537301,Yieldly,COSG/YLDY LP > YLDY Staking
710543830,Yieldly,COSG > COSG (30 Day) Staking
710623418,Pact,VEST/ALGO Liquidity Pool
711293358,Vestige,Tiny > Vest Token Swap
711435607,Pact,700965019/ALGO Liquidity Pool
712061771,Algofi,NIPS/ALGO Liquidity Pool
712065656,Pact,NIPS/ALGO Liquidity Pool
712948097,Pact,YLDY/ALGO Liquidity Pool
714154757,Pact,689171215/ALGO Liquidity Pool
717256390,Yieldly,YLDY > ALCH Staking
717264841,Yieldly,ALCH/YLDY LP > YLDY Staking
724988424,Yieldly,CHOICE/YLDY LP > YLDY Staking
725020782,Yieldly,CHOICE > CHOICE Staking
734103581,AlgoFund,NURD/ALGO LP > NURD Staking
735275136,AlgoFund,OGS > OGS Staking
737840564,Yieldly,YLDY/ALGO LP > YLDY Staking
741022891,Algofi,BBP/ALGO Liquidity Pool
